feature,mi_score
GGI9,2.284099428940711
GGI8,2.100022663903716
nSpiro,1.8811444283641219
Xc-4d,1.8135959882272552
NssNH,1.7861314380920985
nN,1.5307302338429187
n6ARing,1.5189439821386577
n5aRing,1.5183298842976163
NssssC,1.4770345550845756
n4Ring,1.4389187475364578
MDEC-14,1.4219123476343813
GhoseFilter,1.4161037302621997
EState_VSA1,1.414312234420351
C4SP3,1.29558092004495
NaaO,1.2942547485336267
PEOE_VSA3,1.2485011645392408
PEOE_VSA5,1.236220791129911
AATS8dv,1.2289461833387099
piPC9,1.2010720890240028
MDEO-11,1.1875935049313138
ETA_beta_ns_d,1.1742141947861546
Xch-4d,1.1527656043588255
ATS8dv,1.151662120875253
n7HRing,1.1372854385575701
n7Ring,1.1339651665393349
MINssssC,1.1338916849903806
nFRing,1.1078951320640635
GGI7,1.0897911644020242
nFARing,1.0813467958576968
n5HRing,1.0471732019630624
nAromAtom,1.0370979430431857
NdCH2,1.0365961762761282
SlogP_VSA11,1.01918317611176
NaaaC,0.9896622999325213
PEOE_VSA11,0.9705093747065154
NaasC,0.963998454095593
nAHRing,0.9491693326593653
n7FRing,0.9045454899536278
Radius,0.8888708156404113
Xch-3d,0.8884306901559524
NdO,0.853470253330096
SMR_VSA9,0.8491596310060119
PEOE_VSA10,0.8243922766386484
JGI7,0.8022290329921353
AATS7dv,0.8002010799893315
n6FRing,0.7974334110284866
n5ARing,0.7970748444746847
GATS8dv,0.7963465908163787
GATS8s,0.7922983935250598
VSA_EState9,0.7900867130449449
GGI6,0.7591537331673308
MINssCH2,0.7368880443243637
Xc-6d,0.7255418517037455
PEOE_VSA8,0.7080723538521512
MAXssCH2,0.7077796951586337
GATS8v,0.7072647898351732
piPC10,0.6987428274002001
ETA_dEpsilon_D,0.6913368000839468
MAXaasC,0.6828170415803374
NdssC,0.6749157955988543
ATSC1d,0.6742681805782782
GATS7d,0.6739397519449022
SlogP_VSA8,0.6654328275977752
nHRing,0.665144974557649
MDEO-12,0.6501426921836306
nBridgehead,0.6420506312868723
ATS7dv,0.6271977517210732
SssssC,0.6263024268645632
PEOE_VSA2,0.6202236347056882
AATSC0p,0.610028894704008
MDEC-24,0.6072228913344531
GATS8d,0.6063850214782107
MDEC-34,0.5897129346863563
AATS1s,0.5851762642734455
JGI6,0.5851614031861514
SRW05,0.5845200968559183
AATSC4se,0.5840778858912081
BCUTs-1l,0.5819474550902743
GATS8Z,0.5798575481759576
EState_VSA10,0.5783517612341647
Xc-3d,0.5662598676789501
C3SP3,0.5582294103444863
ATSC2d,0.5569079371625456
nARing,0.5547635847941272
ETA_epsilon_3,0.5533004408987403
ATSC0d,0.5442772685680404
VSA_EState8,0.5442675933177368
MATS1se,0.5361303717252945
