feature,mi_score
Xc-3dv,0.5173554118742603
Xc-5d,0.515788718052169
SdssC,0.5156029842450769
ATSC0c,0.512543803603045
C2SP2,0.5122881980247427
MATS1dv,0.5113292932342972
n5Ring,0.5041815091948294
SMR_VSA4,0.5000834904479237
C1SP2,0.4982219779211481
nBondsKD,0.49243885580040736
AXp-5dv,0.4906234494604029
BCUTd-1h,0.4864766547326438
MAXsssCH,0.48124586573463635
MATS1d,0.47015873406409847
Xch-6d,0.4677060243871325
AATSC1d,0.46563925463652733
BCUTs-1h,0.459116951212327
ATSC4se,0.45668904080596073
SIC1,0.4556134486152623
ATS3s,0.4556095263348414
SMR_VSA6,0.45534912002568273
MDEC-22,0.45291138397607744
ATSC4v,0.4525931558854448
ATSC3v,0.4457023065736241
EState_VSA2,0.44078542209345617
SsssCH,0.43701607906368745
ATSC4pe,0.43688423881552607
SIC3,0.4334957003027542
EState_VSA6,0.43211316022540025
AATSC0v,0.42923540853898157
ATSC1se,0.41761933310317056
BCUTZ-1l,0.41733976695112096
SIC0,0.40727609255176533
ATSC2v,0.40712512484330077
AATS7d,0.4058931834769579
AATSC0d,0.40398966037721395
AETA_beta_s,0.402551811240508
AXp-0dv,0.3874242390603704
MIC2,0.38726438473345537
SpMax_A,0.385491282178656
AATS0dv,0.3830456177864692
ATSC3Z,0.38200550582156545
GATS5v,0.37942869273205915
ATSC3d,0.3791422545650196
ATS4s,0.3774117082185997
SMR_VSA7,0.37663605447245496
AXp-6dv,0.3729028357449953
AATS0se,0.37220063009864557
ATS0d,0.3717137444017977
AXp-5d,0.3698836770119769
GATS3Z,0.36978903982010314
MINdssC,0.36952629618687194
TSRW10,0.36950303397221873
GATS4dv,0.3680605623765132
C3SP2,0.3676366988518658
ATSC1pe,0.3646896358444849
EState_VSA5,0.36306194898996047
mZagreb1,0.3624133379159278
BCUTc-1h,0.3605115843616291
JGI2,0.3594079946600721
ATSC2s,0.357742993751061
ATSC1dv,0.35737984733114114
AATSC4pe,0.35054103480477306
AATS6Z,0.3504840812675507
SlogP_VSA3,0.34885518207687083
MATS4se,0.346769499387924
ATSC7dv,0.3443117010221144
Xch-5d,0.34223613043556256
nBondsM,0.3421457641287744
nAtom,0.3399515174758476
AATS4s,0.3398418833167858
ATS0s,0.3388621206847926
NssCH2,0.33875988171423765
AATS3s,0.3376382442315675
MIC1,0.3375878284322429
GATS1dv,0.33640260799914934
C2SP3,0.33506544718713815
CIC2,0.3326762137483965
ETA_beta,0.3322919686982537
SlogP_VSA1,0.33105175320163305
MATS4d,0.33040009035102225
